config,model,R2,MAPE,RMSE,NRMSE,s_R2,s_MAPE,s_RMSE,s_NRMSE
Conf3,StackEns,0.3769509536059865,1.1896898382952266,0.9354505548108459,55.64007161192561,0.1303174631791369,0.3736880134049617,0.10770110151137292,6.636157305538653
Conf3,XGBoost,0.36436741003622924,1.1114430764155383,0.9376833141745248,55.71310365459203,0.184280111451845,0.3099237931689145,0.09214813246464197,4.798995951130903
Conf4,AdaBoost,0.40763272414920665,1.2368602328261589,0.9083737857361589,53.99163537453048,0.15545910564341467,0.4489401335522198,0.09806164203768407,5.547131603606585
Conf4,BaggedDT,0.3798309750596223,1.1704176306625709,0.9287206066148878,55.20164757502131,0.17614752792654936,0.3691960233400908,0.11477907001150264,6.58172970731697
Conf4,BayesianNN,0.3507833465098439,1.133281441024271,0.9480727821850456,56.31966396852448,0.18248760682943785,0.3830751135906739,0.099371861791251,5.191793862554009
Conf4,CatBoost,0.44327147297313496,1.2016964402853345,0.8819751137611833,52.43697242554507,0.12487025749049144,0.46891603468955184,0.08160544624615942,4.759650563812458
Conf4,GBDT,0.4070633706375736,1.1290554650190128,0.9065912832107796,53.86758169058339,0.15937622453041161,0.4110955233027803,0.07786463681660077,3.9179636668647233
Conf4,KNN,0.06197611763842485,2.02455143109717,1.151699571730545,68.53166567571618,0.07993111670827764,1.1893422995467693,0.07906366376328544,5.582249837255693
Conf4,LightGBM,0.4066691270021792,1.1342649293651208,0.9057056216464419,53.80643976547598,0.1734286811781472,0.40408574704748684,0.08791255464914198,4.461929514326846
Conf4,MLP,-0.030041330874992854,2.2865825324073557,1.2095279293249128,72.00259500449208,0.066591384073509,1.0755164342856165,0.11463571123380992,7.878848334809567
Conf4,RF,0.41561976022665326,1.2755401984128094,0.905505273075297,53.841076122557865,0.11928386597708156,0.48691969691935794,0.09022504943440265,5.378207140118823
Conf4,SVR,0.028144810772477147,1.8602942622540932,1.1704322741525353,69.63242572413415,0.11179844165284895,1.0470973587794332,0.06914016431455768,4.863520396437624
Conf4,StackEns,0.37760860535367374,1.209650140868904,0.9338398791014948,55.531856300974596,0.14563226910590002,0.4073523014650692,0.11267509563479716,6.782535056045671
Conf4,XGBoost,0.3602479183292425,1.202463438683732,0.9406147577341251,55.88318391247534,0.18535335616939275,0.5493057288630154,0.08957521377902175,4.553811510749559
Conf1,▸ Average,0.16110786961368587,1.8448205051478201,1.0858806506105352,64.63244963800105,0.07817801051745707,0.8846656264954095,0.08265937567445365,5.903791389672821
Conf2,▸ Average,0.14566841095299687,1.7981959281374873,1.0916421090153243,64.97467849412863,0.11253986621371799,0.8786551389975091,0.08499226221443394,6.022587065344591
Conf3,▸ Average,0.30294687309077356,1.378003349035027,0.9816116327737369,58.36476461243044,0.14298248005067085,0.5636773798996924,0.10130016418406147,5.987596751457329
Conf4,▸ Average,0.3007339081480866,1.4053881785755442,0.9825882398561171,58.42056196166925,0.1400299864404552,0.6034035329485056,0.09290917580935121,5.458280932824877
Conf1,▸ Ensemble,0.2850218701010741,1.6141297591646406,1.0046609380186173,59.79631471446618,0.07032947992231695,0.6923353914407112,0.062330814537752216,4.7391020156107295
Conf2,▸ Ensemble,0.29186122566875905,1.653723669199008,1.0011177041461827,59.596751560691395,0.0502145918961932,0.733364299835657,0.0689343534742775,5.209642921829312
Conf3,▸ Ensemble,0.4307178471170673,1.1939134327572067,0.8906359382628821,52.938758680953505,0.14937781641298825,0.4295549248183547,0.09902656187929867,5.64421321811855
Conf4,▸ Ensemble,0.43690630952465365,1.204377742973027,0.886102076557559,52.66916819505035,0.13982576775950237,0.44607657494038055,0.08878338051317836,5.0045213750976725
