chm_mean,chm_median,chm_stdev,chm_max,NDVI_max,NDVI_mean,NDVI_median,NDVI_stdDev,NDII_max,NDII_mean,NDII_median,NDII_stdDev,GNDVI_max,GNDVI_mean,GNDVI_median,GNDVI_stdDev,EVI_max,EVI_mean,EVI_median,EVI_stdDev,elevation_mean,elevation_median,elevation_stdev,elevation_max,slope_percentage_mean,slope_percentage_median,slope_percentage_stdev,slope_percentage_max,aspect_degree_mean,aspect_degree_median,aspect_degree_stdev,aspect_degree_max,pr_avg_JJA_median,pr_avg_MAM_median,tas_avg_JJA_median,tas_max_JJA_median,tas_min_JJA_median,tas_avg_MAM_median,tas_max_MAM_median,tas_min_MAM_median,model,config,target
8.23,12.5,4.69,3.75,3.58,1.43,2.11,2.9,3.28,3.54,3.24,1.37,3.49,4.26,1.83,1.61,0.75,0.94,1.08,1.99,1.23,1.34,2.17,0.63,3.61,0.84,1.11,3.58,2.32,3.13,1.47,2.04,2.68,3.79,0.36,0.49,0.4,0.37,0.57,1.3,CatBoost,Conf4,CSE
,,,,0.06,0.02,0.02,0.01,0.04,0.06,0.11,0.02,0.11,0.09,0.09,0.02,0.02,0.01,0.05,0.02,0.02,0.02,0.05,0.0,0.01,0.02,0.01,0.01,0.01,0.04,0.03,0.03,,,,,,,,,GBDT,Conf1,CSE
,,,,0.05,0.01,0.04,0.03,0.04,0.08,0.06,0.01,0.07,0.06,0.11,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.04,0.03,0.01,0.02,0.02,0.01,0.02,0.0,GBDT,Conf2,CSE
0.39,0.02,0.05,0.02,0.05,0.02,0.02,0.04,0.01,0.02,0.03,0.01,0.03,0.01,0.09,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.01,0.02,0.0,0.01,0.04,0.02,,,,,,,,,GBDT,Conf3,CSE
0.39,0.02,0.05,0.01,0.04,0.03,0.02,0.03,0.01,0.02,0.03,0.01,0.03,0.01,0.08,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.0,0.02,0.03,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,GBDT,Conf4,CSE
,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.01,0.01,0.0,0.01,0.03,0.04,0.0,0.03,,,,,,,,,KNN,Conf1,CSE
,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.01,0.01,0.0,0.01,0.02,0.04,0.01,0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,KNN,Conf2,CSE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.01,0.01,-0.0,0.01,0.03,0.04,0.0,0.03,,,,,,,,,KNN,Conf3,CSE
0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,KNN,Conf4,CSE
,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.55,0.0,4.58,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,,,,,,,,,MLP,Conf1,CSE
,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLP,Conf2,CSE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,MLP,Conf3,CSE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLP,Conf4,CSE
,,,,0.04,0.05,0.05,0.02,0.05,0.07,0.08,0.01,0.11,0.08,0.1,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.02,0.02,,,,,,,,,RF,Conf1,CSE
,,,,0.05,0.05,0.04,0.03,0.05,0.06,0.06,0.01,0.08,0.07,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.03,0.02,0.02,0.01,0.02,0.02,0.02,RF,Conf2,CSE
0.16,0.13,0.02,0.06,0.03,0.03,0.03,0.02,0.03,0.04,0.04,0.01,0.06,0.07,0.06,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,RF,Conf3,CSE
0.13,0.12,0.02,0.05,0.03,0.03,0.03,0.02,0.03,0.04,0.04,0.01,0.05,0.05,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,RF,Conf4,CSE
,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,,,,,,,,,SVR,Conf1,CSE
,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.03,0.03,-0.0,0.03,-0.01,-0.01,-0.0,-0.01,-0.02,-0.02,0.01,-0.02,0.05,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,SVR,Conf2,CSE
0.04,0.05,-0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,0.03,0.03,0.0,0.06,0.01,0.04,0.03,0.07,,,,,,,,,SVR,Conf3,CSE
0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.07,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,SVR,Conf4,CSE
,,,,0.01,0.02,0.03,0.02,0.03,0.09,0.04,0.02,0.04,0.14,0.09,0.03,0.01,0.03,0.09,0.02,0.04,0.02,0.04,0.03,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.03,,,,,,,,,XGBoost,Conf1,CSE
,,,,0.01,0.02,0.02,0.02,0.04,0.06,0.04,0.01,0.02,0.15,0.03,0.01,0.01,0.04,0.05,0.02,0.04,0.02,0.03,0.0,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.02,0.04,0.03,0.03,0.01,0.03,0.01,0.1,0.01,XGBoost,Conf2,CSE
0.22,0.03,0.04,0.03,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.01,0.03,0.04,0.13,0.01,0.02,0.04,0.02,0.01,0.01,0.0,0.01,0.02,0.02,0.03,0.02,0.04,0.02,0.03,0.03,0.03,,,,,,,,,XGBoost,Conf3,CSE
0.26,0.02,0.03,0.04,0.01,0.0,0.0,0.01,0.01,0.03,0.02,0.01,0.03,0.01,0.14,0.01,0.01,0.02,0.01,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.07,0.02,0.01,0.02,0.03,0.01,0.02,0.0,0.01,0.01,0.02,0.0,0.01,XGBoost,Conf4,CSE
